,tenure,tenure_group
1664,46,41-60
1665,9,0-20
1666,8,0-20
1667,14,0-20
1668,45,41-60
1669,8,0-20
1670,1,0-20
1671,66,61-80
1672,72,61-80
1673,41,41-60
1674,23,21-40
1675,29,21-40
1676,4,0-20
1677,6,0-20
1678,67,61-80
1679,7,0-20
1680,56,41-60
1681,72,61-80
1682,72,61-80
1683,23,21-40
1684,35,21-40
1685,27,21-40
1686,26,21-40
1687,12,0-20
1688,40,21-40
1689,7,0-20
1690,70,61-80
1691,60,41-60
1692,39,21-40
1693,72,61-80
1694,1,0-20
1695,54,41-60
1696,3,0-20
1697,63,61-80
1698,71,61-80
1699,42,41-60
1700,47,41-60
1701,66,61-80
1702,21,21-40
1703,11,0-20
1704,1,0-20
1705,55,41-60
1706,69,61-80
1707,3,0-20
1708,4,0-20
1709,30,21-40
1710,5,0-20
1711,71,61-80
1712,29,21-40
1713,52,41-60
1714,68,61-80
1715,46,41-60
1716,8,0-20
1717,72,61-80
1718,17,0-20
1719,3,0-20
1720,2,0-20
1721,9,0-20
1722,51,41-60
1723,6,0-20
1724,3,0-20
1725,17,0-20
1726,30,21-40
1727,31,21-40
1728,45,41-60
1729,64,61-80
1730,1,0-20
1731,1,0-20
1732,61,61-80
1733,1,0-20
1734,9,0-20
1735,72,61-80
1736,1,0-20
1737,7,0-20
1738,66,61-80
1739,1,0-20
1740,40,21-40
1741,16,0-20
1742,2,0-20
1743,67,61-80
1744,41,41-60
1745,56,41-60
1746,72,61-80
1747,3,0-20
1748,54,41-60
1749,52,41-60
1750,50,41-60
1751,14,0-20
1752,27,21-40
1753,72,61-80
1754,62,61-80
1755,12,0-20
1756,44,41-60
1757,54,41-60
1758,68,61-80
1759,20,0-20
1760,50,41-60
1761,58,41-60
1762,35,21-40
1763,2,0-20
1764,63,61-80
1765,58,41-60
1766,27,21-40
1767,71,61-80
1768,63,61-80
1769,71,61-80
1770,41,41-60
1771,13,0-20
1772,2,0-20
1773,68,61-80
1774,1,0-20
1775,65,61-80
1776,72,61-80
1777,28,21-40
1778,72,61-80
1779,2,0-20
1780,18,0-20
1781,60,41-60
1782,26,21-40
1783,1,0-20
1784,4,0-20
1785,68,61-80
1786,38,21-40
1787,42,41-60
1788,57,41-60
1789,54,41-60
1790,12,0-20
1791,44,41-60
1792,42,41-60
1793,72,61-80
1794,71,61-80
1795,19,0-20
1796,23,21-40
1797,30,21-40
1798,35,21-40
1799,10,0-20
1800,1,0-20
1801,22,21-40
1802,7,0-20
1803,36,21-40
1804,34,21-40
1805,72,61-80
1806,36,21-40
1807,1,0-20
1808,23,21-40
1809,32,21-40
1810,71,61-80
1811,23,21-40
1812,17,0-20
1813,1,0-20
1814,12,0-20
1815,72,61-80
1816,1,0-20
1817,72,61-80
1818,60,41-60
1819,61,61-80
1820,6,0-20
1821,32,21-40
1822,31,21-40
1823,19,0-20
1824,72,61-80
1825,32,21-40
1826,65,61-80
1827,45,41-60
1828,42,41-60
1829,8,0-20
1830,32,21-40
1831,22,21-40
1832,57,41-60
1833,1,0-20
1834,1,0-20
1835,1,0-20
1836,24,21-40
1837,1,0-20
1838,54,41-60
1839,4,0-20
1840,65,61-80
1841,56,41-60
1842,45,41-60
1843,71,61-80
1844,59,41-60
1845,69,61-80
1846,19,0-20
1847,55,41-60
1848,38,21-40
1849,10,0-20
1850,47,41-60
1851,2,0-20
1852,1,0-20
1853,1,0-20
1854,1,0-20
1855,46,41-60
1856,38,21-40
1857,65,61-80
1858,19,0-20
1859,52,41-60
1860,71,61-80
1861,1,0-20
1862,52,41-60
1863,6,0-20
1864,26,21-40
1865,48,41-60
1866,64,61-80
1867,3,0-20
1868,1,0-20
1869,72,61-80
1870,1,0-20
1871,51,41-60
1872,41,41-60
1873,72,61-80
1874,43,41-60
1875,72,61-80
1876,47,41-60
1877,72,61-80
1878,3,0-20
1879,1,0-20
1880,2,0-20
1881,26,21-40
1882,29,21-40
1883,35,21-40
1884,27,21-40
1885,24,21-40
1886,67,61-80
1887,16,0-20
1888,23,21-40
1889,14,0-20
1890,1,0-20
1891,1,0-20
1892,4,0-20
1893,16,0-20
1894,46,41-60
1895,68,61-80
1896,38,21-40
1897,30,21-40
1898,5,0-20
1899,17,0-20
1900,4,0-20
1901,12,0-20
1902,72,61-80
1903,3,0-20
1904,56,41-60
1905,41,41-60
1906,40,21-40
1907,7,0-20
1908,69,61-80
1909,7,0-20
1910,5,0-20
1911,72,61-80
1912,44,41-60
1913,65,61-80
1914,3,0-20
1915,24,21-40
1916,44,41-60
1917,72,61-80
1918,24,21-40
1919,1,0-20
1920,22,21-40
1921,70,61-80
1922,25,21-40
1923,37,21-40
1924,22,21-40
1925,59,41-60
1926,49,41-60
1927,47,41-60
1928,31,21-40
1929,1,0-20
1930,3,0-20
1931,53,41-60
1932,1,0-20
1933,20,0-20
1934,3,0-20
1935,51,41-60
1936,51,41-60
1937,13,0-20
1938,1,0-20
1939,1,0-20
1940,63,61-80
1941,3,0-20
1942,46,41-60
1943,1,0-20
1944,8,0-20
1945,71,61-80
1946,55,41-60
1947,70,61-80
1948,2,0-20
1949,67,61-80
1950,65,61-80
1951,14,0-20
1952,20,0-20
1953,1,0-20
1954,1,0-20
1955,49,41-60
1956,72,61-80
1957,46,41-60
1958,24,21-40
1959,5,0-20
1960,33,21-40
1961,42,41-60
1962,23,21-40
1963,8,0-20
1964,66,61-80
1965,24,21-40
1966,24,21-40
1967,69,61-80
1968,53,41-60
1969,60,41-60
1970,7,0-20
1971,20,0-20
1972,23,21-40
1973,72,61-80
1974,11,0-20
1975,21,21-40
1976,1,0-20
1977,31,21-40
1978,57,41-60
1979,45,41-60
1980,10,0-20
1981,58,41-60
1982,14,0-20
1983,27,21-40
1984,14,0-20
1985,12,0-20
1986,69,61-80
1987,25,21-40
1988,58,41-60
1989,35,21-40
1990,16,0-20
1991,45,41-60
1992,17,0-20
1993,1,0-20
1994,22,21-40
1995,1,0-20
1996,67,61-80
1997,67,61-80
1998,2,0-20
1999,23,21-40
2000,9,0-20
2001,5,0-20
2002,54,41-60
2003,57,41-60
2004,24,21-40
2005,49,41-60
2006,5,0-20
2007,2,0-20
2008,4,0-20
2009,70,61-80
2010,5,0-20
2011,53,41-60
2012,47,41-60
2013,31,21-40
2014,13,0-20
2015,28,21-40
2016,10,0-20
2017,38,21-40
2018,1,0-20
2019,67,61-80
2020,52,41-60
2021,62,61-80
2022,16,0-20
2023,5,0-20
2024,12,0-20
2025,72,61-80
2026,71,61-80
2027,24,21-40
2028,15,0-20
2029,67,61-80
2030,2,0-20
2031,5,0-20
2032,15,0-20
2033,1,0-20
2034,41,41-60
2035,43,41-60
2036,1,0-20
2037,1,0-20
2038,26,21-40
2039,22,21-40
2040,71,61-80
2041,7,0-20
2042,28,21-40
2043,16,0-20
2044,7,0-20
2045,69,61-80
2046,1,0-20
2047,3,0-20
2048,21,21-40
2049,69,61-80
2050,71,61-80
2051,69,61-80
2052,48,41-60
2053,47,41-60
2054,2,0-20
2055,45,41-60
2056,51,41-60
2057,22,21-40
2058,72,61-80
2059,37,21-40
2060,71,61-80
2061,7,0-20
2062,66,61-80
2063,51,41-60
2064,30,21-40
2065,34,21-40
2066,64,61-80
2067,65,61-80
2068,47,41-60
2069,1,0-20
2070,49,41-60
2071,67,61-80
2072,39,21-40
2073,14,0-20
2074,43,41-60
2075,56,41-60
2076,14,0-20
2077,1,0-20
2078,16,0-20
2079,70,61-80
2080,72,61-80
2081,23,21-40
2082,21,21-40
2083,1,0-20
2084,1,0-20
2085,32,21-40
2086,17,0-20
2087,4,0-20
2088,36,21-40
2089,50,41-60
2090,48,41-60
2091,50,41-60
2092,72,61-80
2093,10,0-20
2094,18,0-20
2095,1,0-20
2096,1,0-20
2097,9,0-20
2098,2,0-20
2099,40,21-40
2100,69,61-80
2101,37,21-40
2102,18,0-20
2103,11,0-20
2104,8,0-20
2105,3,0-20
2106,55,41-60
2107,33,21-40
2108,46,41-60
2109,34,21-40
2110,3,0-20
2111,30,21-40
2112,33,21-40
2113,45,41-60
2114,40,21-40
2115,71,61-80
2116,1,0-20
2117,72,61-80
2118,22,21-40
2119,46,41-60
2120,55,41-60
2121,1,0-20
2122,12,0-20
2123,31,21-40
2124,5,0-20
2125,67,61-80
2126,1,0-20
2127,40,21-40
2128,41,41-60
2129,1,0-20
2130,51,41-60
2131,42,41-60
2132,23,21-40
2133,1,0-20
2134,1,0-20
2135,56,41-60
2136,15,0-20
2137,12,0-20
2138,54,41-60
2139,7,0-20
2140,33,21-40
2141,16,0-20
2142,21,21-40
2143,30,21-40
2144,3,0-20
2145,11,0-20
2146,62,61-80
2147,18,0-20
2148,6,0-20
2149,46,41-60
2150,21,21-40
2151,68,61-80
2152,1,0-20
2153,25,21-40
2154,24,21-40
2155,30,21-40
2156,2,0-20
2157,51,41-60
2158,57,41-60
2159,15,0-20
2160,72,61-80
2161,2,0-20
2162,28,21-40
2163,29,21-40
2164,70,61-80
2165,13,0-20
2166,59,41-60
2167,13,0-20
2168,7,0-20
2169,62,61-80
2170,21,21-40
2171,2,0-20
2172,1,0-20
2173,4,0-20
2174,19,0-20
2175,30,21-40
2176,67,61-80
2177,72,61-80
2178,53,41-60
2179,5,0-20
2180,71,61-80
2181,50,41-60
2182,56,41-60
2183,2,0-20
2184,2,0-20
2185,24,21-40
2186,46,41-60
2187,71,61-80
2188,29,21-40
2189,69,61-80
2190,71,61-80
2191,1,0-20
2192,56,41-60
2193,56,41-60
2194,1,0-20
2195,28,21-40
2196,19,0-20
2197,66,61-80
2198,17,0-20
2199,52,41-60
2200,19,0-20
2201,36,21-40
2202,7,0-20
2203,72,61-80
2204,67,61-80
2205,34,21-40
2206,57,41-60
2207,7,0-20
2208,1,0-20
2209,8,0-20
2210,69,61-80
2211,50,41-60
2212,10,0-20
2213,12,0-20
2214,14,0-20
2215,70,61-80
2216,64,61-80
2217,66,61-80
2218,71,61-80
2219,20,0-20
2220,72,61-80
2221,71,61-80
2222,38,21-40
2223,28,21-40
2224,17,0-20
2225,33,21-40
2226,23,21-40
2227,58,41-60
2228,70,61-80
2229,4,0-20
2230,45,41-60
2231,10,0-20
2232,36,21-40
2233,54,41-60
2234,23,21-40
2235,41,41-60
2236,5,0-20
2237,27,21-40
2238,1,0-20
2239,67,61-80
2240,72,61-80
2241,56,41-60
2242,44,41-60
2243,66,61-80
2244,34,21-40
2245,69,61-80
2246,1,0-20
2247,40,21-40
2248,30,21-40
2249,11,0-20
2250,15,0-20
2251,11,0-20
2252,64,61-80
2253,72,61-80
2254,72,61-80
2255,1,0-20
2256,15,0-20
2257,60,41-60
2258,56,41-60
2259,8,0-20
2260,3,0-20
2261,49,41-60
2262,2,0-20
2263,6,0-20
2264,70,61-80
2265,12,0-20
2266,52,41-60
2267,72,61-80
2268,40,21-40
2269,1,0-20
2270,3,0-20
2271,40,21-40
2272,1,0-20
2273,30,21-40
2274,23,21-40
2275,1,0-20
2276,44,41-60
2277,65,61-80
2278,7,0-20
2279,72,61-80
2280,8,0-20
2281,16,0-20
2282,66,61-80
2283,1,0-20
2284,3,0-20
2285,53,41-60
2286,8,0-20
2287,69,61-80
2288,5,0-20
2289,72,61-80
2290,13,0-20
2291,4,0-20
2292,54,41-60
2293,72,61-80
2294,12,0-20
2295,1,0-20
2296,1,0-20
2297,54,41-60
2298,69,61-80
2299,48,41-60
2300,48,41-60
2301,8,0-20
2302,71,61-80
2303,2,0-20
2304,67,61-80
2305,34,21-40
2306,3,0-20
2307,9,0-20
2308,71,61-80
2309,57,41-60
2310,72,61-80
2311,48,41-60
2312,18,0-20
2313,43,41-60
2314,72,61-80
2315,35,21-40
2316,4,0-20
2317,49,41-60
2318,71,61-80
2319,11,0-20
2320,63,61-80
2321,65,61-80
2322,49,41-60
2323,29,21-40
2324,15,0-20
2325,4,0-20
2326,72,61-80
2327,26,21-40
2328,35,21-40
2329,57,41-60
2330,28,21-40
2331,25,21-40
2332,47,41-60
2333,57,41-60
2334,16,0-20
2335,5,0-20
2336,17,0-20
2337,56,41-60
2338,72,61-80
2339,21,21-40
2340,48,41-60
2341,68,61-80
2342,30,21-40
2343,3,0-20
2344,14,0-20
2345,4,0-20
2346,71,61-80
2347,8,0-20
2348,61,61-80
2349,72,61-80
2350,5,0-20
2351,49,41-60
2352,8,0-20
2353,3,0-20
2354,9,0-20
2355,67,61-80
2356,46,41-60
2357,67,61-80
2358,55,41-60
2359,33,21-40
2360,62,61-80
2361,1,0-20
2362,49,41-60
2363,1,0-20
2364,14,0-20
2365,18,0-20
2366,1,0-20
2367,1,0-20
2368,72,61-80
2369,64,61-80
2370,69,61-80
2371,1,0-20
2372,71,61-80
2373,66,61-80
2374,2,0-20
2375,71,61-80
2376,11,0-20
2377,47,41-60
2378,35,21-40
2379,32,21-40
2380,60,41-60
2381,11,0-20
2382,29,21-40
2383,21,21-40
2384,48,41-60
2385,3,0-20
2386,43,41-60
2387,5,0-20
2388,1,0-20
2389,71,61-80
2390,8,0-20
2391,8,0-20
2392,20,0-20
2393,33,21-40
2394,71,61-80
2395,31,21-40
2396,38,21-40
2397,1,0-20
2398,2,0-20
2399,12,0-20
2400,9,0-20
2401,11,0-20
2402,6,0-20
2403,71,61-80
2404,42,41-60
2405,8,0-20
2406,5,0-20
2407,2,0-20
2408,45,41-60
2409,28,21-40
2410,43,41-60
2411,60,41-60
2412,42,41-60
2413,7,0-20
2414,25,21-40
2415,40,21-40
2416,27,21-40
2417,10,0-20
2418,27,21-40
2419,11,0-20
2420,4,0-20
2421,68,61-80
2422,1,0-20
2423,18,0-20
2424,57,41-60
2425,26,21-40
2426,17,0-20
2427,1,0-20
2428,38,21-40
2429,59,41-60
2430,30,21-40
2431,2,0-20
2432,50,41-60
2433,9,0-20
2434,3,0-20
2435,14,0-20
2436,31,21-40
2437,7,0-20
2438,8,0-20
2439,17,0-20
2440,32,21-40
2441,2,0-20
2442,7,0-20
2443,72,61-80
2444,31,21-40
2445,27,21-40
2446,18,0-20
2447,7,0-20
2448,14,0-20
2449,11,0-20
2450,72,61-80
2451,28,21-40
2452,15,0-20
2453,4,0-20
2454,71,61-80
2455,5,0-20
2456,47,41-60
2457,57,41-60
2458,50,41-60
2459,8,0-20
2460,48,41-60
2461,70,61-80
2462,1,0-20
2463,8,0-20
2464,1,0-20
2465,1,0-20
2466,60,41-60
2467,49,41-60
2468,4,0-20
2469,29,21-40
2470,67,61-80
2471,53,41-60
2472,67,61-80
2473,6,0-20
2474,47,41-60
2475,53,41-60
2476,69,61-80
2477,3,0-20
2478,4,0-20
2479,56,41-60
2480,59,41-60
2481,61,61-80
2482,2,0-20
2483,46,41-60
2484,12,0-20
2485,14,0-20
2486,28,21-40
2487,24,21-40
2488,31,21-40
2489,68,61-80
2490,39,21-40
2491,42,41-60
2492,13,0-20
2493,6,0-20
2494,35,21-40
2495,38,21-40
2496,18,0-20
2497,4,0-20
2498,27,21-40
2499,41,41-60
2500,50,41-60
2501,72,61-80
2502,70,61-80
2503,44,41-60
2504,2,0-20
2505,34,21-40
2506,72,61-80
2507,71,61-80
2508,64,61-80
2509,72,61-80
2510,1,0-20
2511,29,21-40
2512,23,21-40
2513,52,41-60
2514,25,21-40
2515,64,61-80
2516,16,0-20
2517,1,0-20
2518,24,21-40
2519,2,0-20
2520,34,21-40
2521,36,21-40
2522,53,41-60
2523,47,41-60
2524,72,61-80
2525,72,61-80
2526,1,0-20
2527,9,0-20
2528,8,0-20
2529,45,41-60
2530,7,0-20
2531,71,61-80
2532,41,41-60
2533,67,61-80
2534,69,61-80
2535,70,61-80
2536,25,21-40
2537,72,61-80
2538,34,21-40
2539,65,61-80
2540,70,61-80
2541,72,61-80
2542,35,21-40
2543,13,0-20
2544,12,0-20
2545,62,61-80
2546,25,21-40
2547,52,41-60
2548,8,0-20
2549,2,0-20
2550,56,41-60
2551,12,0-20
2552,47,41-60
2553,2,0-20
2554,18,0-20
2555,8,0-20
2556,45,41-60
2557,3,0-20
2558,38,21-40
2559,72,61-80
2560,46,41-60
2561,71,61-80
2562,66,61-80
2563,25,21-40
2564,18,0-20
2565,13,0-20
2566,65,61-80
2567,60,41-60
2568,15,0-20
2569,72,61-80
2570,30,21-40
2571,42,41-60
2572,71,61-80
2573,1,0-20
2574,39,21-40
2575,35,21-40
2576,53,41-60
2577,1,0-20
2578,31,21-40
2579,48,41-60
2580,30,21-40
2581,10,0-20
2582,12,0-20
2583,57,41-60
2584,58,41-60
2585,37,21-40
2586,44,41-60
2587,27,21-40
2588,8,0-20
2589,3,0-20
2590,25,21-40
2591,57,41-60
2592,12,0-20
2593,62,61-80
2594,65,61-80
2595,71,61-80
2596,21,21-40
2597,71,61-80
2598,7,0-20
2599,72,61-80
2600,1,0-20
2601,72,61-80
2602,64,61-80
2603,72,61-80
2604,29,21-40
2605,13,0-20
2606,31,21-40
2607,1,0-20
2608,7,0-20
2609,61,61-80
2610,39,21-40
2611,10,0-20
2612,14,0-20
2613,1,0-20
2614,67,61-80
2615,72,61-80
2616,6,0-20
2617,1,0-20
2618,25,21-40
2619,33,21-40
2620,18,0-20
2621,71,61-80
2622,28,21-40
2623,2,0-20
2624,17,0-20
2625,56,41-60
2626,60,41-60
2627,33,21-40
2628,1,0-20
2629,2,0-20
2630,63,61-80
2631,7,0-20
2632,55,41-60
2633,65,61-80
2634,1,0-20
2635,63,61-80
2636,70,61-80
2637,36,21-40
2638,52,41-60
2639,22,21-40
2640,22,21-40
2641,5,0-20
2642,47,41-60
2643,33,21-40
2644,18,0-20
2645,1,0-20
2646,56,41-60
2647,2,0-20
2648,35,21-40
2649,64,61-80
2650,15,0-20
2651,24,21-40
2652,1,0-20
2653,70,61-80
2654,1,0-20
2655,4,0-20
2656,39,21-40
2657,29,21-40
2658,14,0-20
2659,61,61-80
2660,13,0-20
2661,66,61-80
2662,2,0-20
2663,59,41-60
2664,62,61-80
2665,33,21-40
2666,66,61-80
2667,72,61-80
2668,1,0-20
2669,19,0-20
2670,51,41-60
2671,63,61-80
2672,27,21-40
2673,22,21-40
2674,4,0-20
2675,42,41-60
2676,29,21-40
2677,4,0-20
2678,30,21-40
2679,4,0-20
2680,71,61-80
2681,46,41-60
2682,4,0-20
2683,7,0-20
2684,69,61-80
2685,72,61-80
2686,19,0-20
2687,28,21-40
2688,5,0-20
2689,72,61-80
2690,8,0-20
2691,7,0-20
2692,22,21-40
2693,72,61-80
2694,8,0-20
2695,52,41-60
2696,68,61-80
2697,71,61-80
2698,2,0-20
2699,34,21-40
2700,35,21-40
2701,61,61-80
2702,1,0-20
2703,1,0-20
2704,53,41-60
2705,72,61-80
2706,2,0-20
2707,3,0-20
2708,13,0-20
2709,41,41-60
2710,24,21-40
2711,28,21-40
2712,8,0-20
2713,1,0-20
2714,54,41-60
2715,41,41-60
2716,19,0-20
2717,72,61-80
2718,62,61-80
2719,56,41-60
2720,15,0-20
2721,10,0-20
2722,32,21-40
2723,21,21-40
2724,62,61-80
2725,2,0-20
2726,27,21-40
2727,5,0-20
2728,25,21-40
2729,2,0-20
2730,49,41-60
2731,63,61-80
2732,4,0-20
2733,1,0-20
2734,11,0-20
2735,52,41-60
2736,60,41-60
2737,64,61-80
2738,43,41-60
2739,61,61-80
2740,1,0-20
2741,5,0-20
2742,66,61-80
2743,67,61-80
2744,42,41-60
2745,1,0-20
2746,31,21-40
2747,7,0-20
2748,4,0-20
2749,34,21-40
2750,3,0-20
2751,19,0-20
2752,31,21-40
2753,1,0-20
2754,3,0-20
2755,46,41-60
2756,1,0-20
2757,69,61-80
2758,5,0-20
2759,1,0-20
2760,26,21-40
2761,10,0-20
2762,25,21-40
2763,64,61-80
2764,30,21-40
2765,13,0-20
2766,64,61-80
2767,46,41-60
2768,12,0-20
2769,15,0-20
2770,17,0-20
2771,13,0-20
2772,67,61-80
2773,24,21-40
2774,6,0-20
2775,53,41-60
2776,16,0-20
2777,10,0-20
2778,13,0-20
2779,9,0-20
2780,25,21-40
2781,7,0-20
2782,38,21-40
2783,43,41-60
2784,4,0-20
2785,25,21-40
2786,27,21-40
2787,72,61-80
2788,71,61-80
2789,24,21-40
2790,50,41-60
2791,57,41-60
2792,15,0-20
2793,4,0-20
2794,28,21-40
2795,9,0-20
2796,55,41-60
2797,3,0-20
2798,10,0-20
2799,55,41-60
2800,20,0-20
2801,62,61-80
2802,32,21-40
2803,43,41-60
2804,9,0-20
2805,60,41-60
2806,58,41-60
2807,7,0-20
2808,2,0-20
2809,37,21-40
2810,65,61-80
2811,39,21-40
2812,66,61-80
2813,68,61-80
2814,62,61-80
2815,3,0-20
2816,72,61-80
2817,41,41-60
2818,29,21-40
2819,4,0-20
2820,53,41-60
2821,1,0-20
2822,41,41-60
2823,39,21-40
2824,63,61-80
2825,15,0-20
2826,13,0-20
2827,1,0-20
2828,1,0-20
2829,8,0-20
2830,60,41-60
2831,12,0-20
2832,40,21-40
2833,66,61-80
2834,42,41-60
2835,66,61-80
2836,49,41-60
2837,1,0-20
2838,41,41-60
2839,41,41-60
2840,23,21-40
2841,3,0-20
2842,4,0-20
2843,52,41-60
2844,4,0-20
2845,11,0-20
2846,2,0-20
2847,26,21-40
2848,24,21-40
2849,12,0-20
2850,60,41-60
2851,64,61-80
2852,66,61-80
2853,60,41-60
2854,17,0-20
2855,42,41-60
2856,1,0-20
2857,47,41-60
2858,10,0-20
2859,70,61-80
2860,67,61-80
2861,1,0-20
2862,7,0-20
2863,1,0-20
2864,4,0-20
2865,66,61-80
2866,12,0-20
2867,24,21-40
2868,26,21-40
2869,6,0-20
2870,57,41-60
2871,14,0-20
2872,42,41-60
2873,25,21-40
2874,64,61-80
2875,22,21-40
2876,19,0-20
2877,61,61-80
2878,22,21-40
2879,70,61-80
2880,12,0-20
2881,31,21-40
2882,11,0-20
2883,68,61-80
2884,72,61-80
2885,67,61-80
2886,60,41-60
2887,1,0-20
2888,1,0-20
2889,58,41-60
2890,47,41-60
2891,1,0-20
2892,1,0-20
2893,22,21-40
2894,48,41-60
2895,37,21-40
2896,13,0-20
2897,43,41-60
2898,6,0-20
2899,71,61-80
2900,1,0-20
2901,72,61-80
2902,6,0-20
2903,12,0-20
2904,25,21-40
2905,21,21-40
2906,6,0-20
2907,20,0-20
2908,18,0-20
2909,43,41-60
2910,35,21-40
2911,1,0-20
2912,32,21-40
2913,52,41-60
2914,32,21-40
2915,72,61-80
2916,51,41-60
2917,68,61-80
2918,8,0-20
2919,49,41-60
2920,72,61-80
2921,9,0-20
2922,28,21-40
2923,54,41-60
2924,11,0-20
2925,50,41-60
2926,69,61-80
2927,1,0-20
2928,68,61-80
2929,40,21-40
2930,31,21-40
2931,33,21-40
2932,55,41-60
2933,68,61-80
2934,12,0-20
2935,71,61-80
2936,40,21-40
2937,64,61-80
2938,53,41-60
2939,12,0-20
2940,53,41-60
2941,72,61-80
2942,46,41-60
2943,40,21-40
2944,12,0-20
2945,9,0-20
2946,51,41-60
2947,49,41-60
2948,41,41-60
2949,56,41-60
2950,4,0-20
2951,20,0-20
2952,26,21-40
2953,20,0-20
2954,7,0-20
2955,7,0-20
2956,51,41-60
2957,4,0-20
2958,1,0-20
2959,27,21-40
2960,22,21-40
2961,12,0-20
2962,3,0-20
2963,34,21-40
2964,24,21-40
2965,51,41-60
2966,14,0-20
2967,59,41-60
2968,3,0-20
2969,65,61-80
2970,5,0-20
2971,59,41-60
2972,72,61-80
2973,62,61-80
2974,28,21-40
2975,3,0-20
2976,19,0-20
2977,1,0-20
2978,24,21-40
2979,57,41-60
2980,72,61-80
2981,67,61-80
2982,52,41-60
2983,71,61-80
2984,26,21-40
2985,35,21-40
2986,55,41-60
2987,33,21-40
2988,72,61-80
2989,1,0-20
2990,10,0-20
2991,37,21-40
2992,12,0-20
2993,1,0-20
2994,62,61-80
2995,1,0-20
2996,18,0-20
2997,69,61-80
2998,2,0-20
2999,19,0-20
3000,12,0-20
3001,9,0-20
3002,27,21-40
3003,27,21-40
3004,1,0-20
3005,24,21-40
3006,14,0-20
3007,32,21-40
3008,11,0-20
3009,1,0-20
3010,38,21-40
3011,9,0-20
3012,54,41-60
3013,29,21-40
3014,44,41-60
3015,59,41-60
3016,3,0-20
3017,18,0-20
3018,67,61-80
3019,22,21-40
3020,33,21-40
3021,5,0-20
3022,2,0-20
3023,72,61-80
3024,9,0-20
3025,67,61-80
3026,16,0-20
3027,8,0-20
3028,5,0-20
3029,23,21-40
3030,1,0-20
3031,50,41-60
3032,17,0-20
3033,68,61-80
3034,1,0-20
3035,25,21-40
3036,67,61-80
3037,32,21-40
3038,67,61-80
3039,72,61-80
3040,71,61-80
3041,1,0-20
3042,46,41-60
3043,2,0-20
3044,1,0-20
3045,48,41-60
3046,61,61-80
3047,32,21-40
3048,2,0-20
3049,3,0-20
3050,5,0-20
3051,71,61-80
3052,37,21-40
3053,65,61-80
3054,67,61-80
3055,49,41-60
3056,50,41-60
3057,25,21-40
3058,17,0-20
3059,64,61-80
3060,25,21-40
3061,23,21-40
3062,24,21-40
3063,37,21-40
3064,21,21-40
3065,1,0-20
3066,10,0-20
3067,6,0-20
3068,51,41-60
3069,10,0-20
3070,6,0-20
3071,47,41-60
3072,61,61-80
3073,52,41-60
3074,35,21-40
3075,71,61-80
3076,6,0-20
3077,45,41-60
3078,2,0-20
3079,4,0-20
3080,2,0-20
3081,4,0-20
3082,51,41-60
3083,60,41-60
3084,9,0-20
3085,3,0-20
3086,17,0-20
3087,8,0-20
3088,46,41-60
3089,68,61-80
3090,1,0-20
3091,4,0-20
3092,1,0-20
3093,28,21-40
3094,39,21-40
3095,11,0-20
3096,71,61-80
3097,2,0-20
3098,30,21-40
3099,17,0-20
3100,55,41-60
3101,58,41-60
3102,5,0-20
3103,1,0-20
3104,9,0-20
3105,26,21-40
3106,50,41-60
3107,72,61-80
3108,43,41-60
3109,56,41-60
3110,1,0-20
3111,72,61-80
3112,72,61-80
3113,36,21-40
3114,5,0-20
3115,13,0-20
3116,44,41-60
3117,70,61-80
3118,44,41-60
3119,32,21-40
3120,69,61-80
3121,16,0-20
3122,68,61-80
3123,16,0-20
3124,68,61-80
3125,4,0-20
3126,26,21-40
3127,29,21-40
3128,5,0-20
3129,70,61-80
3130,24,21-40
3131,72,61-80
3132,1,0-20
3133,70,61-80
3134,36,21-40
3135,38,21-40
3136,17,0-20
3137,41,41-60
3138,1,0-20
3139,2,0-20
3140,14,0-20
3141,2,0-20
3142,1,0-20
3143,13,0-20
3144,6,0-20
3145,4,0-20
3146,5,0-20
3147,15,0-20
3148,47,41-60
3149,8,0-20
3150,17,0-20
3151,15,0-20
3152,26,21-40
3153,23,21-40
3154,4,0-20
3155,29,21-40
3156,25,21-40
3157,9,0-20
3158,18,0-20
3159,3,0-20
3160,69,61-80
3161,14,0-20
3162,19,0-20
3163,39,21-40
3164,31,21-40
3165,24,21-40
3166,14,0-20
3167,64,61-80
3168,50,41-60
3169,52,41-60
3170,28,21-40
3171,21,21-40
3172,25,21-40
3173,17,0-20
3174,58,41-60
3175,17,0-20
3176,51,41-60
3177,72,61-80
3178,52,41-60
3179,27,21-40
3180,3,0-20
3181,64,61-80
3182,45,41-60
3183,3,0-20
3184,71,61-80
3185,1,0-20
3186,58,41-60
3187,34,21-40
3188,8,0-20
3189,15,0-20
3190,66,61-80
3191,12,0-20
3192,58,41-60
3193,3,0-20
3194,43,41-60
3195,9,0-20
3196,3,0-20
3197,22,21-40
3198,40,21-40
3199,68,61-80
3200,54,41-60
3201,50,41-60
3202,1,0-20
3203,72,61-80
3204,40,21-40
3205,72,61-80
3206,6,0-20
3207,5,0-20
3208,48,41-60
3209,1,0-20
3210,64,61-80
3211,17,0-20
3212,40,21-40
3213,41,41-60
3214,51,41-60
3215,41,41-60
3216,1,0-20
3217,2,0-20
